,accyracy,bamboo_pole,iron_pole,wood,lotus,hishi,sky,person,boat,water_sur
hishi,0,0,0,0,0,0,0,0,0,0
sky,99.7994405852,0,0.2005594148,0,0,0,99.7994405852,0,0,0
person,0,0,0,0,0,0,0,0,0,0
boat,0,0,0,0,0,0,0,0,0,0
water_sur,74.3132670953,0,0.8195632538,0,23.9838478296,0,0.8833218214,0,0,74.3132670953
bamboo_pole,0,0,93.1431099314,0,3.4948020349,0,3.3399690334,0,0,0.0221190002
iron_pole,19.6554800631,0,19.6554800631,0,0.4941321804,0,79.5278292499,0,0,0.3225585066
wood,0,0,0,0,0,0,0,0,0,0
lotus,88.5509541884,0,0.7797973742,0,88.5509541884,0,0.6586756002,0,0,10.0105728371
hishi,0,0,0,0,44.8648648649,0,0,0,0,55.1351351351
sky,99.9565494981,0,0.0434505019,0,0,0,99.9565494981,0,0,0
person,0,0,0,0,0,0,0,0,0,0
boat,0,0,0,0,0,0,0,0,0,0
water_sur,80.9185898897,0,0.414211777,0,18.5028156636,0,0.1643826698,0,0,80.9185898897
bamboo_pole,0,0,86.326783015,0,4.2325133984,0,8.5337364298,0,0,0.9069671568
iron_pole,55.5555555556,0,55.5555555556,0,15.8365261814,0,27.4904214559,0,0,1.1174968072
wood,0,0,0.2322170618,0,0,0,99.6088975801,0,0,0.1588853581
lotus,87.3737337008,0,1.0548553892,0,87.3737337008,0,0.94467918,0,0,10.62673173
hishi,0,0,0,0,0,0,0,0,0,0
sky,99.9830276827,0,0.0169723173,0,0,0,99.9830276827,0,0,0
person,0,0,0,0,0,0,0,0,0,0
boat,0,0,0,0,0,0,0,0,0,0
water_sur,87.1017630684,0,0.7239792762,0,11.4367460563,0,0.7375115991,0,0,87.1017630684
bamboo_pole,0,0,72.6362535325,0,21.1061768268,0,5.1271699637,0,0,1.130399677
iron_pole,67.8347934919,0,67.8347934919,0,11.0294117647,0,18.8673341677,0,0,2.2684605757
wood,0,0,1.5342250197,0,0,0,97.3052714398,0,0,1.1605035405
lotus,90.7267671036,0,0.5869408901,0,90.7267671036,0,0.2837241941,0,0,8.4025678122
hishi,0,0,0,0,0,0,0,0,0,0
sky,99.9949194737,0,0.0050805263,0,0,0,99.9949194737,0,0,0
person,0,0,0,0,0,0,0,0,0,0
boat,0,0,0,0,0,0,0,0,0,0
water_sur,80.8256213744,0,0.3188282871,0,18.8373748542,0,0.0181754843,0,0,80.8256213744
bamboo_pole,0,0,99.5649809679,0,0,0,0.3806416531,0,0,0.054377379
iron_pole,99.9451754386,0,99.9451754386,0,0.0548245614,0,0,0,0,0
wood,0,0,4.3237400351,0,0.0038604822,0,95.2380952381,0,0,0.4343042446
lotus,83.8250783191,0,2.6132251269,0,83.8250783191,0,0.0924975694,0,0,13.4691989846
hishi,0,0,0,0,0,0,0,0,0,0
sky,99.2090789372,0,0.7909210628,0,0,0,99.2090789372,0,0,0
person,0,0,0,0,0,0,0,0,0,0
boat,0,0,0,0,0,0,0,0,0,0
water_sur,54.5968125595,0,1.9326831589,0,37.6992150333,0,5.7712892483,0,0,54.5968125595
bamboo_pole,0,0,61.7209743752,0,13.8880101234,0,24.3910155014,0,0,0
iron_pole,36.882646126,0,36.882646126,0,24.8300860897,0,37.7888536475,0,0,0.4984141368
wood,0,0,2.8469397877,0,0,0,97.1431405615,0,0,0.0099196508
lotus,89.5198141216,0,1.1019319306,0,89.5198141216,0,0.4875005378,0,0,8.8907534099
hishi,0,0,0,0,0,0,0,0,0,0
sky,99.9542163363,0,0.0457836637,0,0,0,99.9542163363,0,0,0
person,0,0,0,0,0,0,0,0,0,0
boat,0,0,0,0,0,0,0,0,0,0
water_sur,80.4457600557,0,0.0376110047,0,19.4616054327,0,0.0550235069,0,0,80.4457600557
bamboo_pole,0,0,71.2318154429,0,12.8862873375,0,11.8016699664,0,0,4.0802272532
iron_pole,93.2576459685,0,93.2576459685,0,4.5566882916,0,0.7954896509,0,0,1.390176089
wood,0,0,3.5815085158,0,3.4452554745,0,77.304136253,0,0,15.6690997567
lotus,90.682673931,0,0.528068574,0,90.682673931,0,0.0128362381,0,0,8.7764212568
hishi,0,0,0,0,0,0,0,0,0,0
sky,99.8034476178,0,0.1965523822,0,0,0,99.8034476178,0,0,0
person,0,0,0,0,0,0,0,0,0,0
boat,0,0,0,0,0,0,0,0,0,0
water_sur,73.4920399486,0,0.5883516266,0,25.9196084248,0,0,0,0,73.4920399486
bamboo_pole,0,0,99.5475113122,0,0,0,0.4524886878,0,0,0
iron_pole,98.9905787349,0,98.9905787349,0,0,0,1.0094212651,0,0,0
wood,0,0,2.4851161897,0,0,0,96.5527174957,0,0,0.9621663146
lotus,77.3264951321,0,3.3358831711,0,77.3264951321,0,2.2489568846,0,0,17.0886648122
hishi,0,0,0,0,0,0,0,0,0,0
sky,99.0684538206,0,0.9315461794,0,0,0,99.0684538206,0,0,0
person,0,0,0,0,0,0,0,0,0,0
boat,0,0,0,0,0,0,0,0,0,0
water_sur,50.607614165,0,4.5855881515,0,37.2970663629,0,7.5097313206,0,0,50.607614165
bamboo_pole,0,0,69.2307692308,0,10.9401709402,0,19.8290598291,0,0,0
iron_pole,89.1304347826,0,89.1304347826,0,4.118993135,0,6.7505720824,0,0,0
wood,0,0,1.4344633337,0,0.0281661805,0,98.5373704859,0,0,0
lotus,85.15449553,0,0.7679044732,0,85.15449553,0,0.7784130493,0,0,13.2991869476
hishi,0,0,0,0,0,0,0,0,0,0
sky,99.3740162684,0,0.6259837316,0,0,0,99.3740162684,0,0,0
person,0,0,0,0,0,0,0,0,0,0
boat,0,0,0,0,0,0,0,0,0,0
water_sur,79.7990000934,0,0.5907767526,0,16.4679019786,0,3.1423211754,0,0,79.7990000934
bamboo_pole,0,0,35.6029532404,0,11.4848236259,0,52.9122231337,0,0,0
iron_pole,65.4761904762,0,65.4761904762,0,4.1005291005,0,29.3650793651,0,0,1.0582010582
wood,0,0,6.0840707965,0,0.212020649,0,93.3259587021,0,0,0.3779498525
lotus,91.7097898405,0,1.6391206393,0,91.7097898405,0,0.096807125,0,0,6.5542823952
hishi,0,0,0,0,0,0,0,0,0,0
sky,99.9665241798,0,0.0334758202,0,0,0,99.9665241798,0,0,0
person,0,0,0,0,0,0,0,0,0,0
boat,0,0,0,0,0,0,0,0,0,0
water_sur,76.4479399763,0,0.3718573121,0,23.1611162301,0,0.0190864815,0,0,76.4479399763
bamboo_pole,0,0,93.0460333007,0,0,0,6.9539666993,0,0,0
iron_pole,99.070764832,0,99.070764832,0,0.7862759114,0,0.1429592566,0,0,0
wood,0,0,14.7994600848,0,3.1623602005,0,76.9089857308,0,0,5.1291939838
lotus,94.9544411559,0,0.8978750291,0,94.9544411559,0,0.0760699677,0,0,4.0716138472
hishi,0,0,0,0,0,0,0,0,0,0
sky,99.5817583758,0,0.4182416242,0,0,0,99.5817583758,0,0,0
person,0,0,0,0,0,0,0,0,0,0
boat,0,0,0,0,0,0,0,0,0,0
water_sur,66.1647007165,0,0.1696505199,0,33.6656487635,0,0,0,0,66.1647007165
bamboo_pole,0,0,80.6535638172,0,3.1494198437,0,12.2661614966,0,0,3.9308548425
iron_pole,94.4452140186,0,94.4452140186,0,4.3634852473,0,0.6649120377,0,0,0.5263886965
wood,0,0,0,0,0,0,0,0,0,0
lotus,85.9054894309,0,1.0213043187,0,85.9054894309,0,2.7467912586,0,0,10.3264149919
hishi,0,0,0,0,0,0,0,0,0,0
sky,99.8035706491,0,0.1908170837,0,0,0,99.8035706491,0,0,0.0056122672
person,0,0,0,0,0,0,0,0,0,0
boat,0,0,0,0,0,0,0,0,0,0
water_sur,80.952050517,0,0.5586010686,0,18.4893484144,0,0,0,0,80.952050517
bamboo_pole,0,0,97.7345132743,0,1.0973451327,0,1.1681415929,0,0,0
iron_pole,99.7851772288,0,99.7851772288,0,0.2148227712,0,0,0,0,0
wood,0,0,4.2241908268,0,0,0,95.6550084369,0,0,0.1208007363
lotus,80.8919719144,0,2.5412401658,0,80.8919719144,0,1.3585991033,0,0,15.2081888165
hishi,0,0,0,0,0,0,0,0,0,0
sky,99.5221481183,0,0.4778518817,0,0,0,99.5221481183,0,0,0
person,0,0,0,0,0,0,0,0,0,0
boat,0,0,0,0,0,0,0,0,0,0
water_sur,63.7762522543,0,4.0810983769,0,24.4429577055,0,7.6996916633,0,0,63.7762522543
bamboo_pole,0,0,82.7495908347,0,0.3600654664,0,15.9738134206,0,0,0.9165302782
iron_pole,99.4921648288,0,99.4921648288,0,0.2321532211,0,0.2031340685,0,0,0.0725478816
wood,0,0,0.7925568573,0,0,0,98.8587992054,0,0,0.3486439372
lotus,84.4897913529,0,2.61181787,0,84.4897913529,0,1.0480828026,0,0,11.8503079745
hishi,0,0,0,0,0,0,0,0,0,0
sky,99.6033576985,0,0.3966423015,0,0,0,99.6033576985,0,0,0
person,0,0,0,0,0,0,0,0,0,0
boat,0,0,0,0,0,0,0,0,0,0
water_sur,63.0103159776,0,2.0615709528,0,28.746649338,0,6.1814637316,0,0,63.0103159776
bamboo_pole,0,0,91.0183639399,0,1.101836394,0,2.8046744574,0,0,5.0751252087
iron_pole,73.6084452975,0,73.6084452975,0,17.1785028791,0,0.4798464491,0,0,8.7332053743
wood,0,0,10.3659158088,0,1.4881255733,0,80.8887982876,0,0,7.2571603302
lotus,91.5519781145,0,0.6863776655,0,91.5519781145,0,0.1522166105,0,0,7.6094276094
hishi,0,0,0,0,0,0,0,0,0,0
sky,99.5287680032,0,0.4656735591,0,0,0,99.5287680032,0,0,0.0055584377
person,0,0,0,0,0,0,0,0,0,0
boat,0,0,0,0,0,0,0,0,0,0
water_sur,83.8090207693,0,0.2678689329,0,15.9231102979,0,0,0,0,83.8090207693
bamboo_pole,0,0,64.1480339244,0,10.4857363146,0,25.366229761,0,0,0
iron_pole,64.2780748663,0,64.2780748663,0,10.6951871658,0,25.0267379679,0,0,0
wood,0,0,5.0507020281,0,0.2242589704,0,94.2765210608,0,0,0.4485179407
lotus,91.296907938,0,1.1180240845,0,91.296907938,0,0.3469288476,0,0,7.23813913
hishi,0,0,0,0,0,0,0,0,0,0
sky,99.8575618637,0,0.1424381363,0,0,0,99.8575618637,0,0,0
person,0,0,0,0,0,0,0,0,0,0
boat,0,0,0,0,0,0,0,0,0,0
water_sur,78.1828945536,0,0.6087198774,0,21.1965454799,0,0.0118400891,0,0,78.1828945536
bamboo_pole,0,0,64.4115574348,0,13.7420718816,0,21.8463706836,0,0,0
iron_pole,86.3740283493,0,86.3740283493,0,0.1371742112,0,13.4887974394,0,0,0
wood,0,0,2.73378749,0,0.8758736619,0,94.9570910378,0,0,1.4332478103
lotus,90.6355475464,0,1.1082857155,0,90.6355475464,0,0.3437641761,0,0,7.912402562
hishi,0,0,0,0,0,0,0,0,0,0
sky,99.8418340448,0,0.1581659552,0,0,0,99.8418340448,0,0,0
person,0,0,0,0,0,0,0,0,0,0
boat,0,0,0,0,0,0,0,0,0,0
water_sur,77.0175179245,0,0.7879370242,0,22.1938058984,0,0.0007391529,0,0,77.0175179245
accyracy,bamboo_pole,iron_pole,wood,lotus,hishi,sky,person,boat,water_sur
